2026-06-06T12:04:23.491204+00:00 | ok | sent 7 new speeches
2026-06-07T09:20:22.426748+00:00 | ok | sent 1 new speeches
2026-06-08T11:04:15.661528+00:00 | ok | no_new_speeches (110 seen)
2026-06-09T09:53:51.272447+00:00 | ok | sent 5 new speeches
2026-06-10T10:10:10.199132+00:00 | ok | sent 3 new speeches
2026-06-11T10:43:29.759460+00:00 | ok | sent 1 new speeches
2026-06-12T10:20:08.315112+00:00 | ok | no_new_speeches (111 seen)
2026-06-13T09:22:13.975378+00:00 | ok | no_new_speeches (111 seen)
2026-06-14T09:41:08.938213+00:00 | ok | no_new_speeches (111 seen)
2026-06-15T12:24:23.698103+00:00 | ok | sent 1 new speeches
2026-06-16T11:19:37.811054+00:00 | ok | sent 1 new speeches
2026-06-17T11:04:25.887876+00:00 | ok | sent 6 new speeches
2026-06-18T10:26:53.779945+00:00 | ok | no_new_speeches (112 seen)
2026-06-19T10:44:07.428777+00:00 | ok | sent 8 new speeches
2026-06-20T09:23:22.663127+00:00 | ok | sent 2 new speeches
2026-06-21T09:55:33.393735+00:00 | ok | no_new_speeches (112 seen)
2026-06-22T12:12:12.470132+00:00 | ok | no_new_speeches (112 seen)
2026-06-23T09:49:49.116656+00:00 | ok | sent 10 new speeches
2026-06-24T09:37:36.432720+00:00 | ok | sent 5 new speeches
2026-06-25T09:32:04.121611+00:00 | ok | sent 4 new speeches
2026-06-26T09:34:06.679598+00:00 | ok | sent 1 new speeches
2026-06-27T08:41:10.146526+00:00 | ok | no_new_speeches (110 seen)
2026-06-28T08:57:56.752588+00:00 | ok | sent 1 new speeches
2026-06-29T11:07:41.041984+00:00 | ok | sent 1 new speeches
2026-06-30T09:44:42.880748+00:00 | ok | sent 3 new speeches
2026-07-01T09:55:35.508991+00:00 | ok | sent 6 new speeches
2026-07-02T09:18:41.767420+00:00 | ok | sent 3 new speeches
2026-07-03T09:24:42.102410+00:00 | ok | sent 1 new speeches
2026-07-04T08:42:23.407560+00:00 | ok | no_new_speeches (92 seen)
2026-07-05T08:57:17.746823+00:00 | ok | no_new_speeches (92 seen)
2026-07-06T10:44:12.926199+00:00 | ok | no_new_speeches (92 seen)
2026-07-07T09:49:22.961056+00:00 | ok | sent 1 new speeches
2026-07-08T08:34:53.831184+00:00 | ok | sent 2 new speeches
2026-07-09T09:56:58.772919+00:00 | ok | no_new_speeches (92 seen)
2026-07-10T09:41:27.131255+00:00 | ok | no_new_speeches (92 seen)
2026-07-11T08:01:48.644791+00:00 | ok | no_new_speeches (92 seen)
2026-07-12T08:23:05.211417+00:00 | ok | no_new_speeches (92 seen)
2026-07-13T09:34:17.647257+00:00 | ok | sent 1 new speeches
2026-07-14T08:12:56.252715+00:00 | ok | sent 3 new speeches
2026-07-15T08:20:05.250196+00:00 | ok | sent 3 new speeches
2026-07-16T08:19:28.340479+00:00 | ok | sent 3 new speeches
2026-07-17T08:15:38.227598+00:00 | ok | sent 1 new speeches
2026-07-18T07:57:17.346440+00:00 | ok | no_new_speeches (92 seen)
2026-07-19T08:24:32.398376+00:00 | ok | no_new_speeches (92 seen)
2026-07-20T09:21:24.508774+00:00 | ok | no_new_speeches (92 seen)
2026-07-21T08:35:02.423924+00:00 | ok | no_new_speeches (92 seen)
2026-07-22T08:34:03.524067+00:00 | ok | sent 1 new speeches
2026-07-23T08:35:20.705444+00:00 | ok | no_new_speeches (92 seen)
2026-07-24T08:32:00.690601+00:00 | ok | no_new_speeches (92 seen)
2026-07-25T08:11:14.015679+00:00 | ok | no_new_speeches (92 seen)
2026-07-26T08:31:56.414829+00:00 | ok | no_new_speeches (92 seen)
2026-07-27T09:57:39.455806+00:00 | ok | no_new_speeches (92 seen)
2026-07-28T08:39:36.696709+00:00 | ok | sent 1 new speeches
2026-07-29T08:46:21.423203+00:00 | ok | no_new_speeches (92 seen)
2026-07-30T08:32:29.682794+00:00 | ok | no_new_speeches (92 seen)
2026-07-31T08:54:11.400587+00:00 | ok | sent 7 new speeches
2026-08-01T08:25:36.313293+00:00 | ok | sent 10 new speeches
2026-08-02T08:28:48.099403+00:00 | ok | no_new_speeches (95 seen)
2026-08-03T09:52:21.871213+00:00 | ok | no_new_speeches (95 seen)
2026-08-04T08:42:40.691063+00:00 | ok | sent 3 new speeches
2026-08-05T08:41:31.459089+00:00 | ok | no_new_speeches (1044 seen)
2026-08-06T08:42:02.349162+00:00 | ok | sent 1 new speeches
2026-08-07T07:20:57.341330+00:00 | ok | no_new_speeches (1058 seen)
2026-08-08T06:58:32.305165+00:00 | ok | no_new_speeches (1058 seen)
2026-08-09T07:01:14.571280+00:00 | ok | no_new_speeches (1058 seen)
2026-08-10T07:47:26.409337+00:00 | ok | no_new_speeches (1058 seen)
2026-08-11T07:12:40.441850+00:00 | ok | sent 1 new speeches
2026-08-12T07:37:12.416175+00:00 | ok | no_new_speeches (1058 seen)
2026-08-13T07:39:25.809835+00:00 | ok | sent 1 new speeches
